Lemma	Glosses
אֲבִינֹעַם	Abinoam
אֲבִיעֶזֶר	Abiezer;Abiezrites
אֲבִירָם	Abiram
אֲבִישַׁג	Abishag
אֲבִישַׁי	Abishai
אֲבִישָׁלוֹם	Abishalom;Absalom;Absalom's
אֲבִישׁוּעַ	Abishua
אֲבִישׁוּר	Abishur;Abishur's
אֲבֵדָה	lost;lost_property;lost_thing
אֲבַגְתָא	Abagtha
אֲבַד	destroy;destroyed;perish
אֲבַדּוֹן	abaddon
אֲבַטִּחִים	melons
אֲבַעְבֻּעֹת	sores
אֲבָל	but;however;nevertheless;no;surely;truly;well
אֲבָקָה	fragrant_powders
אֲבוֹי	sorrow
אֲגַם	marshes;ponds;pool;pools
אֲגַף	troops
אֲגַרְטָל	basins
אֲגָג	Agag
אֲגָגִי	Agagite
אֲגֻדָּה	band;bunch;foundation_of_~_vault;ropes
אֲגוֹרָה	piece
אֲדַד	Hadad
אֲדַלְיָא	Adalia
אֲדַמְדָּם	reddish
אֲדַרְגָּזֵר	counselors
אֲדַרְכֹּן	darics
אֲדָמָה	Adamah;country;dust;earth;fields;ground;land;lands;soil
אֲדָר	Adar
אֲדֹמִי	Edomite;Edomites
אֲדֹנִיָּהוּ	Adonijah
אֲדֹנִיקָם	Adonikam
אֲדֹנִירָם	Adoniram
אֲדֹנָי	Lord;lord;lord's;lords
אֲדֹרָם	Adoram
אֲדֻמִּים	Adummim
אֲדוֹרַיִם	Adoraim
אֲהָהּ	ah;alas;oh
אֲוֵרָה	sheepfolds
אֲזֵק	chains
אֲזַי	then
אֲזַל	go;went
אֲזַנְיָהוּ	Azaniah
אֲזָא	heat;heated;hot
אֲחִי	Ahi
אֲחִיָּהוּ	Ahiah;Ahijah
אֲחִיאָם	Ahiam
אֲחִידָה	riddles
אֲחִיהוּד	Ahihud
אֲחִיחֻד	Ahihud
אֲחִיטוּב	Ahitub
אֲחִילוּד	Ahilud
אֲחִימֶלֶךְ	Ahimelech
אֲחִימַן	Ahiman
אֲחִימַעַץ	Ahimaaz
אֲחִימוֹת	Ahimoth
אֲחִינָדָב	Ahinadab
אֲחִינֹעַם	Ahinoam
אֲחִיסָמָךְ	Ahisamach
אֲחִיעֶזֶר	Ahiezer
אֲחִיקָם	Ahikam
אֲחִירַע	Ahira
אֲחִירָם	Ahiram
אֲחִירָמִי	Ahiramites
אֲחִישָׁחַר	Ahishahar
אֲחִישָׁר	Ahishar
אֲחִיתֹפֶל	Ahithophel
אֲחַזְיָהוּ	Ahaziah;Ahaziah's
אֲחַסְבַּי	Ahasbai
אֲחַרְחֵל	Aharhel
אֲחַשְׁדַּרְפְּנִין	satraps
אֲחַשְׁדַּרְפַּן	satraps
אֲחַשְׁוֵרוֹשׁ	Ahasuerus
אֲחַשְׁתְּרָן	royal
אֲחַשְׁתָּרִי	Haahashtari
אֲחֹרַנִּית	back;backward;backwards;turned_away
אֲחֻזַּת	Ahuzzath
אֲחֻזָּה	inherited;occupy;place;possess;possesses;possession;possessions;property
אֲחֻזָּם	Ahuzzam
אֲחוֹחִי	Ahohite
אֲחוֹחַ	Ahoah
אֲחוּמַי	Ahumai
אֲכִילָה	food
אֲכַל	accused;ate;devour;devoured;they_chewed_up
אֲלִיפֶלֶט	Eliphelet;Elpelet
אֲלַף	thousand;thousands
אֲלֻמָה	sheaf;sheaves
אֲלוּ	behold
אֲמִתַּי	Amittai
אֲמֵלָל	feeble
אֲמַן	faithful;trusted;trustworthy
אֲמַצְיָהוּ	Amaziah
אֲמַר	applied;asked;command;commanded;declared;gave_orders;gave_the_command;in_reply;related;said;say;saying;speak;speaks;spoke;tell;told
אֲמַרְיָהוּ	Amariah
אֲמָם	Amam
אֲמָנָה	Abana;Amana;binding_agreement;settled_provision
אֲנִי	I;me;mine;my;myself;we
אֲנִיָּה	lamentation
אֲנִיעָם	Aniam
אֲנַחְנָא	we
אֲנַחְנוּ	us;we
אֲנַס	difficult
אֲנַף	face
אֲנָֽחֲרָת	Anaharath
אֲנָא	I
אֲנָה	I;me
אֲנָחָה	groaning;groans;sighing
אֲנָךְ	plumb_line;vertical
אֲנָפָה	heron
אֲנָקָה	gecko;groaning;groans
אֲסֵפָה	together
אֲסַפְסֻף	rabble
אֲסֻפָּה	collected
אֲפִיחַ	Aphiah
אֲפֵלָה	dark;darkness;deep_darkness;gloom;thick;thick_darkness
אֲפֵק	Aphek;Aphik
אֲפֵקָה	Aphekah
אֲפֵר	bandage
אֲפָֽרְסְכָיֵא	envoys;officials
אֲפָֽרְסַתְּכָיֵא	envoys
אֲפָֽרְסָיֵא	persians
אֲפֻדָּה	covered;ephod;skillfully_woven
אֲצַלְיָהוּ	Azaliah
אֲרְיוֹךְ	Arioch
אֲרִאֵיל	altar_hearth;hearth
אֲרִי	lion;lion's;lions;lions'
אֲרִיאֵל	Ariel;ariel
אֲרִידַי	Aridai
אֲרִידָתָא	Aridatha
אֲרִיךְ	fitting
אֲרִיסַי	Arisai
אֲרֶשֶׁת	request
אֲרַוְנָה	Araunah
אֲרַמִּי	Aramean;Arameans
אֲרַע	earth;ground;inferior
אֲרַק	earth
אֲרָא	Ara
אֲרָב	Arab
אֲרָם	Aram;Aramean;Arameans;Edom;Edomites
אֲרָמִית	Aramaic;in_Aramaic
אֲרָן	Aran
אֲרָרַט	Ararat
אֲרֻבָּה	floodgates;window;windows
אֲרֻבּוֹת	Arubboth
אֲרֻחָה	allowance;dinner;ration
אֲרוֹד	Arod
אֲרוֹדִי	Arodi;Arodites
אֲרוֹן	ark;chest;coffin
אֲרוּ	behold
אֲרוּכָה	healing;health;repair;repairs
אֲרוּמָה	Arumah
אֲשִׁימָא	Ashima
אֲשִׁישָׁה	cake_of_raisins;cakes;raisins
אֲשֵׁדָה	slopes
אֲשֵׁרָה	asherah;asherah_pole;asherah_poles;Asherahs;asherim;sacred_pole;sacred_poles
אֲשֶׁר	(happy);although;anyone;as;because;ever;for;he;him;how;if;it;since;so;so_that;someone;such_as;such_that;such_~_as;such_~_that;that;the_one;them;then;therefore;they;this;those;though;what;whatever;when;where;wherever;which;while;who;whoever;whom;whomever;whose;why;yet;you
אֲשֻׁרִים	daughter_of-cypresses
אֲשׁוּר	steps
אֲשׁוּרִי	Ashurites
אֲשַׂרְאֵל	Asarel
אֲשַׂרְאֵלָה	Asarelah
אֲתַר	after;place;site;trace
אֲתָה	bring;brought;brought_in;came;come;coming;gone
אֲתָרִים	Atharim
אֳלִיאָתָה	Eliathah
אֳנִי	fleet;fleet_of_ships;galley;ships
אֳנִיָּה	boats;ship;ships
אִבְחָה	slaughter
אִבְצָן	Ibzan
אִגְּרָא	letter
אִגֶּרֶת	letter;letters
אִדַּר	threshing_floors
אִדּוֹ	Iddo
אִוֶּלֶת	folly;foolish;foolishly;foolishness
אִטִּי	ghosts
אִטֵּר	bound_of
אִי	coast;coastland;coastlands;coasts;coasts_and_islands;hyenas;islands;not;to;woe
אִיּוֹב	Job;Job's
אִי־כָבוֹד	Ichabod's
אִיזֶבֶל	Jezebel;Jezebel's
אִילָן	tree
אִין	not
אִיעֶזְרִי	Iezerites
אִיעֶזֶר	Iezer
אִישׁ	a_certain;all;another;another_man;any;any_man;any_man's;any_one;anyone;anyong;certain;cubs;each;each_man;each_man's;each_one;every;every_man;every_man's;every_one;everyone;expert;father;fellow;fellows;friends;his;human;husband;husband's;husbands;male;man;man's;man_of;mankind;men;men's;men_of;mourners;one;one's;people;person;person's;persons;some;someone;steward;that_one;this_one;who
אִישְׁהוֹד	Ishhod
אִישׁוֹן	apple;deep;midst
אִיתִיאֵל	Ithiel
אִיתַי	are;exists;is;it_be;there_are;there_is;there_will_be;was
אִיתָמָר	Ithamar
אִיתוֹן	entrance
אִכָּר	farmer;farmers
אִלֵּין	these
אִלֵּךְ	these;those
אִלֵּם	cannot_speak;mute
אִלּוּ	if
אִם	?;although;and;as_if;but;certain;don't;even_if;if;if_only;indeed;never;no;none;nor;not;now;oh_that;only;or;perhaps;rather;since;surely;than;that;then;though;unless;when;whenever;whether;yet
אִמְרִי	Imri
אִמְרָה	command;promise;speech;what_~_say;word;words
אִמֵּר	Immer
אִמַּר	lambs
אִנִּין	they
אִנּוּן	they;those
אִסָּר	binding;pledge;pledges
אִשׁ	he_is;is_there
אִשֶּׁה	fire_offering;fire_offerings;offering;offering_by_fire;offering_made_by_fire;offerings_by_fire;offerings_made_by_fire;sacrifices
אִשָּׁה	each;each_one;female;females;mate;mother;one;widow;wife;wife's;wives;woman;woman's;women
אִתַּי	Ithai;Ittai
אֵב	flower;fruit;new_growth
אֵבֶה	papyrus
אֵבֶל	mourner;mourning;time_of_mourning
אֵבֶר	feathers;wings
אֵבוּס	manger
אֵגֶל	drops
אֵד	mist
אֵהוּד	Ehud
אֵזוֹב	hyssop
אֵזוֹר	belt;belts;loincloth
אֵחִי	Ehi
אֵחוּד	Ehud
אֵטוּן	linen
אֵיבָה	enmity;hostility
אֵיד	calamity;destruction;disaster
אֵיךְ	how;what;why
אֵיכָה	how;what;where
אֵיכָכָה	how
אֵיכֹה	where
אֵילִם	Elim
אֵילַת	Elath
אֵילָם	portico;porticoes;vestibules
אֵילוֹת	Elath;Eloth
אֵימְתָן	dreadful
אֵימִים	Emim
אֵימָה	dread;fear;idols;terrifying;terror;terrors;wrath
אֵיפָה	basket;ephah;measure
אֵיפֹה	what_kind;where
אֵיתָן	constant;enduring;Ethan;ever-flowing;hard;mighty;normal_depth;perennial;running;steady
אֵיתָנִים	ethanim
אֵל	divine;El;god;God;God's;gods;great;leaders;mighty;Mighty_One;oaks;power;these;those
אֵלִיָּה	Elijah
אֵלֶם	gods;silent
אֵלָא	Ela
אֵלָה	Elah;oak;oak_tree;terebinth;tree
אֵלֹנִי	Elonites
אֵלֶּה	another;one;others;same;some;such;the_one;the_other;the_others;them;there;these;they;this;those;who
אֵלוֹן	Elon;oak;oaks
אֵם	mother;mother's;mothers;mothers';parting
אֵמֶר	answer;arguments;decreed;fawns;sayings;words
אֵמֻן	faith;faithful;faithfulness;trustworthy
אֵסוּר	bonds;chains;prison
אֵפֶר	ashes;dust
אֵפֹד	Ephod
אֵפוֹ	now;then
אֵפוֹד	ephod
אֵצֶל	at;beside;by;near;side;to;with
אֵצֶר	Ezer
אֵשׁ	blazing;burning;fiery;fire;flaming;lightning
אֵשֶׁל	tamarisk_tree
אֵת	adding_to;against;alongside;also;among;as_well_as;before;behalf_of;beside;by;for;from;has;have;in;mattocks;near;of;on;on_~_side;plowshares;to;together;upon;well_as;with;within
אֵתָם	Etham
אֶבְיָסָף	Ebiasaph
אֶבְיָתָר	Abiathar
אֶבְיוֹן	needy;poor
אֶבְרָה	feathers;pinions
אֶבֶן	gem;gemstones;jewels;ore;plumb_line;rock;rocks;stone;stone_of;stones;stones_of;vessels_of_stone;weight;weights
אֶבֶץ	Ebez
אֶגְלַיִם	Eglaim
אֶגְרֹף	fist
אֶדְרֶעִי	Edrei
אֶדְרַע	force
אֶדֶן	base;bases
אֶדֶר	magnificent;robe
אֶזְבָּי	Ezbai
אֶזְרָח	citizen;native;native-born;native_tree
אֶזְרָחִי	Ezrahite
אֶזְרוֹעַ	arm
אֶזֶל	Ezel
אֶחָד	a;a_certain;a_few;alone;an;another;any;any_one;certain;each;equal;every;fellow;first;next;once;one;one_of;other;same;single;some;the_other;unheard-of;unique;unison
אֶכֶף	pressure
אֶל	about;above;according_to;adjacent_to;after;against;along;along_with;among;around;as;as_far_as;as_for;at;because;because_of;before;beside;both_~_and;by;concerning;faced;far;for;from;had;in;in_addition_to;in_charge_of;in_front_of;into;joined;near;next_to;not;of;on;on_to;onto;opposite;over;through;to;together;toward;towards;under;upon;with;within
אֶלְגָּבִישׁ	hail
אֶלְדָּד	Eldad
אֶלְדָּעָה	Eldaah
אֶלְזָבָד	Elzabad
אֶלְחָנָן	Elhanan
אֶלְיְהוֹעֵינַי	Eliehoenai
אֶלְיַחְבָּא	Eliahba
אֶלְיָדָע	Eliada
אֶלְיָסָף	Eliasaph
אֶלְיָקִים	Eliakim
אֶלְיָשִׁיב	Eliashib;Eliashib's
אֶלְיוֹעֵינַי	Elienai;Elioenai
אֶלְנָעַם	Elnaam
אֶלְנָתָן	Elnathan
אֶלְעָד	Elead
אֶלְעָדָה	Eleadah
אֶלְעָזָר	Eleazar
אֶלְעָלֵא	Elealeh
אֶלְעָשָׂה	Elasah;Eleasah
אֶלְעוּזַי	Eluzai
אֶלְפַּעַל	Elpaal
אֶלְקָנָה	Elkanah
אֶלְקֹשִׁי	Elkoshite
אֶלְתְּקֵא	Elteke;Eltekeh
אֶלְתְּקֹן	Eltekon
אֶלְתּוֹלַד	Eltolad
אֶלֶף	1,000;2,000;a_thousand;clan;clans;herds;one_thousand;oxen;thousand;thousand_of;thousands;thousands_of;two_thousand;two_thousands
אֶלָּסָר	Ellasar
אֶמְרָה	word
אֶמֶשׁ	last_night;night;yesterday
אֶסְתֵּר	Esther;Esther's
אֶפְלָל	Ephlal
אֶפְעֶה	viper;viper's
אֶפְרַיִם	Ephraim;Ephraim's
אֶפְרָתִי	Ephraimite;Ephrathite;Ephrathites
אֶפְרָתָה	Ephrath;Ephrathah
אֶפְרֹחַ	young;young_ones
אֶפֶס	but;ends;however;lack;no;no_one;none;not;nothing;only;shortage;there_is_no_one;whether;yet
אֶפַע	worthless
אֶצְבַּע	finger;fingers;toes
אֶצְבּוֹן	Ezbon
אֶצְעָדָה	armlets;bracelet
אֶקְדָּח	sparkling
אֶרְאֵל	brave_men
אֶרֶב	lairs;wait
אֶרֶג	loom;weaver's_shuttle
אֶרֶז	cedar;cedars
אֶרֶךְ	Erech
אֶרֶץ	countries;country;country_of;countryside;districts;dust;earth;field;floor;ground;habitable;land;lands;region;shore;soil;territory;world
אֶשְׁבַּעַל	Esh-baal
אֶשְׁבָּן	Eshban
אֶשְׁכָּר	gifts;payment
אֶשְׁכֹּל	Eshcol
אֶשְׁכּוֹל	cluster;cluster_of_grapes;clusters
אֶשְׁנָב	lattice
אֶשְׁעָן	Eshan
אֶשְׁפָּר	cake_of_dates;portion_of_meat
אֶשְׁקְלוֹנִי	Ashkelon
אֶשְׁתְּמוֹעַ	Eshtemoa;Eshtemoh
אֶשְׁתַּדּוּר	sedition
אֶשְׁתָּאֻלִי	Eshtaolites
אֶשְׁתָּאוֹל	Eshtaol
אֶשְׁתּוֹן	Eshton
אֶשֶׁד	slopes
אֶשֶׁךְ	testicles
אֶשֶׁר	blessed;happy
אֶשָּׁא	fire
אֶתְבַּעַל	Ethbaal
אֶתְמוֹל	long;recently;yesterday
אֶתְנִי	Ethni
אֶתְנַן	Ethnan;hire;payment;payments;wages;wages_of_a_prostitute
אֶתְנָה	wages
אַב	ancestors;father;fathers
אַבְדָן	destroying
אַבְנֵט	sash;sashes
אַבְרֵךְ	bow_the_knee
אַבְרָהָם	Abraham;Abraham's
אַבְרָם	Abram;Abram's
אַבִּיר	angels;bulls;chief;mighty;mighty_bulls;stallions;strong;stubborn;valiant
אַגְמֹן	reed;rope;rushes
אַגָּן	basins;bowl;bowls
אַדְבְּאֵל	Adbeel
אַדְמָה	Admah
אַדְמָתָא	Admatha
אַדְמוֹנִי	red;ruddy
אַדְרַזְדָּא	with_diligence
אַדְרַמֶּלֶךְ	Adrammelech
אַדִּיר	glorious;leader;leaders;majestic;mighty;noble;nobles;officers
אַדֶּרֶת	cloak;garment;glory;mantle;robe;splendid
אַדָּן	Addan
אַדָּר	Addar
אַדּוֹן	Addon
אַהֲבָה	love;loved;loves
אַהֲוָא	Ahava
אַהֲרֹן	Aaron;Aaron's
אַהַב	lovers;loving
אַוָּה	desire;earnestness_of;please;want
אַזְדָּא	firm;firmly
אַזְכָּרָה	memorial_offering;memorial_portion
אַח	brothers
אַחְאָב	Ahab;Ahab's
אַחְבָן	Ahban
אַחְוָה	declaration
אַחְזַי	Ahzai
אַחְיָן	Ahian
אַחְיוֹ	Ahio
אַחְלָב	Ahlab
אַחְלָי	Ahlai
אַחְלָמָה	amethyst
אַחְמְתָא	Ecbatana
אַחְרַח	Aharah
אַחֲוָה	brotherhood
אַחֲוָיָה	explain
אַחֲלַי	if_only;oh_that
אַחֲרִית	descendants;end;far_side;future;last;later_~_period;latter;latter_days;least;outcome;rest;survivors;to_come
אַחֲרַי	afterward
אַחֲרוֹן	afterward;end;following_time;future;in_the_west;last;later;latter;next;outcome;rear;second;to_come;western
אַחֵר	additional;Aher;another;different;foreign;more;next;other;others;the_other
אַחַר	after;after_that;afterward;afterwards;again;around;back;behind;besides;butt;follow;followed;following;follows;hereafter;in;last;next_to;now;on;pursuing;pursuit;since;then;to;to_the_west_side;west;west_of;with
אַט	dejectedly;gently;slowly
אַי	craving_of;how;what;where;which;why
אַיִל	jambs;leaders;leading_men;lintel;oaks;pilaster;pilasters;portico;ram;rams;ruler;trees;vestibule
אַיִן	are_gone;be_gone;beyond;can't;cannot;disappeared;don't;enough;fails;has_gone;have_none;is_gone;is_no_more;is_not;is_there_no;isn't;lack;lack_of;lacks;nearly;neither;never;no;no-one;no_more;no_other;none;nor;not;not_be;not_one;nothing;there_are_no;there_is_no;there_is_no_one;there_is_none;there_is_not;there_is_nothing;there_was_no;there_was_none;there_was_not;there_was_nothing;there_were_no;there_will_be_no;there_will_be_none;there_will_be_nothing;was_there_no;where;without
אַיֵּה	where
אַיֶּלֶת	deer;doe
אַיָּה	Aiah;falcon;falcon's
אַיָּל	deer;stags
אַיָּלָה	deer;doe;wild_does
אַיָּלוֹן	Aijalon
אַךְ	after;alone;but;however;indeed;just;nevertheless;nothing_but;now;only;really;scarcely;surely;truly;utterly;wholly;yes;yet
אַכְזְרִיּוּת	cruel
אַכְזִיב	Achzib
אַכְזָב	deceitful;deception
אַכְזָר	cruel;deadly;fierce
אַכְזָרִי	cruel
אַכְשָׁף	Achshaph
אַכַּד	Accad
אַל	cannot;don't;instead_of;never;no;not;nothing;rather_than;there_is_no;to
אַל תַּשְׁחֵת	destroy
אַלְגּוּמִּים	algum
אַלְיָה	fat_tail
אַלְלַי	woe
אַלְמָן	forsaken
אַלְמָנָה	strongholds;towers;widow;widow's;widowed;widows
אַלְמָנוּת	widow's;widowhood;widows
אַלְמֹן	widowhood
אַלְמֹנִי	a;such
אַלְמֻגִּים	almug
אַלְמוֹדָד	Almodad
אַלְקוּם	army
אַלַּמֶּלֶךְ	Allammelech
אַלָּה	oak
אַלּוֹן	Allon;oak;oaks
אַלּוֹן בָּכוּת	Bacuth
אַלּוּף	allies;cattle;chief;chiefs;clan;clans;close_friends;companion;friend;gentle;partner
אַמְנוֹן	Amnon;Amnon's
אַמְצִי	Amzi
אַמְצָה	strength
אַמְרָפֶל	Amraphel
אַמְתַּחַת	sack;sacks
אַמִּיץ	mighty;stout;strong
אַמָּה	Ammah;cubit;cubits;foundations;measure
אַנְתָּה	you;your
אַנְתּוּן	you
אַסְנָה	Asnah
אַסְפָּתָא	Aspatha
אַסִּיר	Assir;captive;prisoners
אַף	along_with;also;and;anger;anger_of;angers;angry;breath;brow;but;countenance;double;even;even_if;face;face_of;faces;faces_of;furthermore;how;how_much_less;how_much_more;how_much_more?;how_much_worse;if;in_turn;indeed;more;moreover;no;nose;noses;nostrils;really;snout;so_that;surely;temper;tempers;therefore;too;truly;with;wrath;yes;yet
אַפְּתֹם	revenue
אַפִּרְיוֹן	carriage
אַפֶּדֶן	royal
אַפַּיִם	Appaim
אַצִּיל	joints;long;wrists
אַקּוֹ	wild_goat
אַרְאֵלִי	Areli;Arelites
אַרְבִּי	Arbite
אַרְבֶּה	grasshopper;locust;locusts;swarming_locust
אַרְבַּע	four;four_of;fours;fourth
אַרְבַּעְתַּיִם	fourfold
אַרְבָּעִים	fortieth;forty;twenty
אַרְגְּוָן	purple
אַרְגַּז	box
אַרְגָּמָן	purple
אַרְגֹּב	Argob
אַרְדְּ	Ard
אַרְדִּי	Ardites
אַרְדּוֹן	Ardon
אַרְוַד	Arvad
אַרְוָדִי	Arvadites
אַרְזָה	cedar_work
אַרְיֵה	Arieh;lion;lion's;lions;lions'
אַרְיוֹךְ	Arioch
אַרְכָֿא	extension;prolonged
אַרְכֻבָּה	knees
אַרְכְּוָיֵא	erech
אַרְכִּי	Archite;Archites
אַרְמֹנִי	Armoni
אַרְמוֹן	citadel;citadels;fortresses;palace;palaces;strongholds
אַרְנֶבֶת	hare
אַרְנָן	Arnan
אַרְנוֹן	Arnon
אַרְעִי	bottom
אַרְפַּד	Arpad
אַרְפַּכְשַׁד	Arpachshad
אַרְצָא	Arza
אַרְתַּחְשַׁשְׂתְּא	Artaxerxes;Artaxerxes'
אַרְתַּחְשַׁשְׂתָּא	Artaxerxes
אַשְׁבֵּל	Ashbel
אַשְׁבֵּלִי	Ashbelites
אַשְׁבֵּעַ	Ashbea
אַשְׁדּוֹד	Ashdod
אַשְׁדּוֹדִי	Ashdod;Ashdodites;people_of_Ashdod
אַשְׁדּוֹדִית	language_of_Ashdod
אַשְׁחוּר	Ashhur
אַשְׁכְּנַז	Ashkenaz
אַשְׁמַנִּים	strong
אַשְׁמָה	guilt;guilt_offering;sins;wrongs
אַשְׁמוּרָה	night_watches;watch;watch_of_the_night
אַשְׁנָה	Ashnah
אַשְׁפְּנַז	Ashpenaz
אַשְׁפָּה	quiver
אַשְׁפֹּת	ash_heap;ash_heaps;dung
אַשְׁקְלוֹן	Ashkelon
אַשָּׁף	enchanters
אַשֻּׁר	step;steps
אַשּׁוּר	Asshur;Assyria;Assyrian;Assyrians
אַשּׁוּרִם	Asshurim
אַשְׂרִיאֵל	Asriel
אַשְׂרִיאֵלִי	Asrielites
אַתְּ	you
אַתִּיק	galleries;gallery
אַתֵּן	you
אַתֶּם	you;yourselves
אַתָּה	you;your;yours;yourself
אַתּוּן	furnace
אָֽנֹכִי	I;me
אָֽנָּא	alas;o;please
אָֽסְנַפַּר	Osnappar
אָֽסְנַת	Asenath
אָב	ancestor;ancestor's;ancestors;ancestors';ancestral;families;family;father;father's;father_of;fathers;fathers';fathers_of;grandfather;grandfather's;my_father;parents;predecessors
אָבִיב	abib;ear;fresh_heads_of_grain
אָבִיר	mighty_one
אָבֵל	Abel;laments;mourn;mourners;mourning;stone
אָבַד	annihilate;annihilated;banish;blot_out;bringing_~_toruin;broken;caused_~_toperish;comes_to_nothing;corrupts;destroy;destroyed;destroying;destroys;destruction;fail;gone;lose;loses;lost;perish;perished;perishes;perishing;ruined;silence;squander;there_is_no;to_be_destroyed;to_destroy;to_perish;void;wandering;wiped_out;wretched;you_destroy;you_will_be_destroyed;you_will_perish
אָבַךְ	swirled_upward
אָבַל	caused_grieving;caused_~_tolament;dries_up;lament;mourn;mourned;mourning;mourns;pretend_to_be_a_mourner
אָבַס	fattened
אָבַק	wrestled
אָבַר	soars
אָבָה	accept;consent;have;submit;will;willing;would;yield
אָבָק	dust;fine_dust;powder
אָגֵא	Agee
אָגֵם	grieved
אָגַר	gather;gathers
אָגוּר	Agur
אָדַב	grieve
אָדַר	glorious;majestic;make_~_glorious
אָדַשׁ	go_on
אָדָם	adam;Adam;another;any;anyone;common_sort;human;human_being;human_beings;human_life;humanity;humankind;humans;man;man's;mankind;men;men's;mortal;mortals;one;others;people;person;person's;persons;population;someone
אָדֹם	dyed_red;red;ruddy
אָדוֹן	husbands;Lord;lord;lord's;lord_of;lords;master;master's;masters;owner;supervisors
אָהֵב	beloved;companions;fell_in_love;fell_in_love_with;friend;friends;like;likes;love;love_!;loved;lover;lovers;loves;loving
אָהַל	bright;moved_~_tent;pitch_~_tent
אָהָל	aloes
אָוֶן	affliction;aven;calamity;crime;deceit;delusion;disaster;distress;evil;harm;idol;iniquity;injustice;mischief;misfortune;mourners';mourning;nothing;On;sorrow;trouble;unrighteous;wealth;wicked;wickedness;wrong
אָוָה	crave;craved;craves;desire;desired;desires;draw_a_line;had_a_craving;longingly;they_craved;yearns_for
אָז	always;at_that_time;now;once;then;yet
אָזֵן	utensils
אָזַל	disappears;go_about;goes_away;gone
אָזַן	give_ear;give_heed;hear;heed;listen;listen_to;listened;pay_attention;pays_attention;weighing
אָזַר	binds;clothed;encircle;gird;gird_on;gird_up;girded;girded_with;girded_~_with;strengthen
אָח	ah;alas;another;associates;brazier;brother;brother's;brotherhood;brothers;companions;countryman;countrymen;cousins;equal_with_brother_of;family;fellow;kinsmen;other;people;relative;relatives
אָחַד	slash
אָחַז	acquire_property;acquired;acquired_property;attached;bar;catch;caught;chosen;covers;drawn;drawn_by_lot;fastened;grasp;grasping;handle;have_possessions;held;held_fast;hold;hold_~_out;inserted;joined;lay_hold;seize;seized;seizes;supports;take_hold;take_hold_of;take_possession;taken;taken_hold;taken_hold_of;takes_hold;took;took_hold;wearing
אָחַר	delay;delayed;late;linger;postpone;slow;stayed;tarry
אָחָז	Ahaz
אָחוֹר	away;back;backs;backward;behind;future;hindquarters;quiet;rear;time_to_come;west
אָחוֹת	another;other;sister;sister's;sisters
