FGRef	BibTagId	Role	Word	After	WordClass	Person	Gender	Number	Tense	Voice	Mood	Degree	WordType	Domain	Frames	Referents	Discontinuous	Morphology	Lemma	Junction	Strong	ContextualGloss	Nesting
MAT_1:8w10	40Rha	o	Ἰωράμ	,	n		m	s					PN	093001				N-PRI	Ἰωράμ		2496	Joram	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:8w11	406OQ	s	Ἰωρὰμ	 	n		m	s					PN	093001				N-PRI	Ἰωράμ		2496	Joram	Conj-CL/Conj14CL/S-V-O
MAT_1:8w12	40uaU		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:8w13	40avu	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001008011 A1:n40001008015			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:8w14	40Q7e	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:8w15	40yFW	o	Ὀζίαν	,	n		m	s					PN	093001				N-ASM	Ὀζίας		3604	Uzziah	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w1	400fq	s	Ὀζίας	 	n		m	s					PN	093001				N-NSM	Ὀζίας		3604	Uzziah	Conj-CL/Conj14CL/S-V-O
MAT_1:9w2	406R4		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:9w3	40R7Q	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001009001 A1:n40001009005			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:9w4	40slL	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w5	40QPm	o	Ἰωαθάμ	,	n		m	s					PN	093001				N-PRI	Ἰωαθάμ		2488	Jotham	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w6	40GkF	s	Ἰωαθὰμ	 	n		m	s					PN	093001				N-PRI	Ἰωαθάμ		2488	Jotham	Conj-CL/Conj14CL/S-V-O
MAT_1:9w7	40JHE		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:9w8	40Cuq	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001009006 A1:n40001009010			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:9w9	40HTR	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w10	40Stq	o	Ἀχάζ	,	n		m	s					PN	093001				N-PRI	Ἀχάζ		881	Ahaz	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w11	40XgP	s	Ἀχὰζ	 	n		m	s					PN	093001				N-PRI	Ἀχάζ		881	Ahaz	Conj-CL/Conj14CL/S-V-O
MAT_1:9w12	40JWG		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:9w13	400an	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001009011 A1:n40001009015			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:9w14	409PP	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:9w15	40RcU	o	Ἑζεκίαν	,	n		m	s					PN	093001				N-ASM	Ἑζεκίας		1478	Hezekiah	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w1	40ThV	s	Ἑζεκίας	 	n		m	s					PN	093001				N-NSM	Ἑζεκίας		1478	Hezekiah	Conj-CL/Conj14CL/S-V-O
MAT_1:10w2	40jPq		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:10w3	40cyX	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001010001 A1:n40001010005			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:10w4	40Lps	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w5	40S4X	o	Μανασσῆ	,	n		m	s					PN	093001				N-ASM	Μανασσῆς		3128	Manasseh	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w6	40zDq	s	Μανασσῆς	 	n		m	s					PN	093001				N-NSM	Μανασσῆς		3128	Manasseh	Conj-CL/Conj14CL/S-V-O
MAT_1:10w7	409Wh		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:10w8	40QRB	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001010006 A1:n40001010010			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:10w9	40SGF	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w10	40I6x	o	Ἀμώς	,	n		m	s					PN	093001				N-PRI	Ἀμώς		300	Amos	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w11	401xk	s	Ἀμὼς	 	n		m	s					PN	093001				N-PRI	Ἀμώς		300	Amos	Conj-CL/Conj14CL/S-V-O
MAT_1:10w12	4000i		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:10w13	40nvi	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001010011 A1:n40001010015			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O
MAT_1:10w14	40PvV	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:10w15	40Ly2	o	Ἰωσίαν	,	n		m	s					PN	093001				N-ASM	Ἰωσίας		2502	Josiah	Conj-CL/Conj14CL/S-V-O/o=DetNP
MAT_1:11w1	404Rc	s	Ἰωσίας	 	n		m	s					PN	093001				N-NSM	Ἰωσίας		2502	Josiah	Conj-CL/Conj14CL/S-V-O-ADV
MAT_1:11w2	403LA		δὲ	 	conj									089015			true	CONJ	δέ		1161	then	Conj-CL/Conj14CL
MAT_1:11w3	40bCD	v	ἐγέννησεν	 	v	3		s	aorist	active	indicative			023003	A0:n40001011001 A1:n40001011005;n40001011008			V-AAI-3S	γεννάω		1080	begat	Conj-CL/Conj14CL/S-V-O-ADV
MAT_1:11w4	40rYd	o	τὸν	 	det		m	s						092004				T-ASM	ὁ		3588	-	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:11w5	40Qc3	o	Ἰεχονίαν	 	n		m	s					PN	093001				N-ASM	Ἰεχονίας		2423	Jechoniah	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:11w6	40NIU	o	καὶ	 	conj									089017				CONJ	καί		2532	and	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp
MAT_1:11w7	409Tz	o	τοὺς	 	det		m	p						092004				T-APM	ὁ		3588	the	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp/DetNP
MAT_1:11w8	40Jaq	o	ἀδελφοὺς	 	n		m	p					com	010003				N-APM	ἀδελφός		80	brothers	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp/DetNP/NPofNP
MAT_1:11w9	404A7	o	αὐτοῦ	 	pron		m	s					personal	092004		1:11w5		P-GSM	αὐτός		846	of him	Conj-CL/Conj14CL/S-V-O-ADV/o=NpaNp/DetNP/NPofNP
